image_id,dx,resolution
166,nv,224*224
167,mel,224*224
168,nv,224*224
169,vasc,224*224
170,nv,224*224
171,nv,224*224
172,nv,224*224
173,nv,224*224
174,nv,224*224
175,mel,224*224
176,vasc,224*224
177,mel,224*224
178,nv,224*224
179,mel,224*224
180,vasc,224*224
181,nv,224*224
182,nv,224*224
183,mel,224*224
184,mel,224*224
185,mel,224*224
186,mel,224*224
187,nv,224*224
188,mel,224*224
189,nv,224*224
190,nv,224*224
191,mel,224*224
192,vasc,224*224
193,nv,224*224
194,vasc,224*224
195,nv,224*224
196,mel,224*224
197,nv,224*224
198,nv,224*224
199,vasc,224*224
200,mel,224*224
1_aug1,nv,
1_aug2,nv,
2_aug1,nv,
2_aug2,nv,
3_aug1,nv,
3_aug2,nv,
4_aug1,mel,
4_aug2,mel,
5_aug1,mel,
5_aug2,mel,
6_aug1,mel,
6_aug2,mel,
7_aug1,nv,
7_aug2,nv,
8_aug1,vasc,
8_aug2,vasc,
9_aug1,vasc,
9_aug2,vasc,
10_aug1,nv,
10_aug2,nv,
11_aug1,nv,
11_aug2,nv,
12_aug1,vasc,
12_aug2,vasc,
13_aug1,mel,
13_aug2,mel,
14_aug1,nv,
14_aug2,nv,
15_aug1,vasc,
15_aug2,vasc,
16_aug1,vasc,
16_aug2,vasc,
17_aug1,nv,
17_aug2,nv,
18_aug1,mel,
18_aug2,mel,
19_aug1,nv,
19_aug2,nv,
20_aug1,nv,
20_aug2,nv,
21_aug1,mel,
21_aug2,mel,
22_aug1,nv,
22_aug2,nv,
23_aug1,mel,
23_aug2,mel,
24_aug1,nv,
24_aug2,nv,
25_aug1,nv,
25_aug2,nv,
26_aug1,nv,
26_aug2,nv,
27_aug1,nv,
27_aug2,nv,
28_aug1,nv,
28_aug2,nv,
29_aug1,mel,
29_aug2,mel,
30_aug1,mel,
30_aug2,mel,
31_aug1,nv,
31_aug2,nv,
32_aug1,nv,
32_aug2,nv,
33_aug1,nv,
33_aug2,nv,
34_aug1,nv,
34_aug2,nv,
35_aug1,mel,
35_aug2,mel,
36_aug1,mel,
36_aug2,mel,
37_aug1,mel,
37_aug2,mel,
38_aug1,mel,
38_aug2,mel,
39_aug1,mel,
39_aug2,mel,
40_aug1,nv,
40_aug2,nv,
41_aug1,nv,
41_aug2,nv,
42_aug1,vasc,
42_aug2,vasc,
43_aug1,nv,
43_aug2,nv,
44_aug1,nv,
44_aug2,nv,
45_aug1,mel,
45_aug2,mel,
46_aug1,vasc,
46_aug2,vasc,
47_aug1,nv,
47_aug2,nv,
48_aug1,nv,
48_aug2,nv,
49_aug1,mel,
49_aug2,mel,
50_aug1,nv,
50_aug2,nv,
51_aug1,mel,
51_aug2,mel,
52_aug1,vasc,
52_aug2,vasc,
53_aug1,nv,
53_aug2,nv,
54_aug1,mel,
54_aug2,mel,
55_aug1,mel,
55_aug2,mel,
56_aug1,nv,
56_aug2,nv,
57_aug1,mel,
57_aug2,mel,
58_aug1,nv,
58_aug2,nv,
59_aug1,vasc,
59_aug2,vasc,
60_aug1,nv,
60_aug2,nv,
61_aug1,mel,
61_aug2,mel,
62_aug1,nv,
62_aug2,nv,
63_aug1,nv,
63_aug2,nv,
64_aug1,nv,
64_aug2,nv,
65_aug1,nv,
65_aug2,nv,
66_aug1,mel,
66_aug2,mel,
67_aug1,nv,
67_aug2,nv,
68_aug1,vasc,
68_aug2,vasc,
69_aug1,nv,
69_aug2,nv,
70_aug1,mel,
70_aug2,mel,
71_aug1,nv,
71_aug2,nv,
72_aug1,mel,
72_aug2,mel,
73_aug1,mel,
73_aug2,mel,
74_aug1,nv,
74_aug2,nv,
75_aug1,mel,
75_aug2,mel,
76_aug1,mel,
76_aug2,mel,
77_aug1,nv,
77_aug2,nv,
78_aug1,mel,
78_aug2,mel,
79_aug1,mel,
79_aug2,mel,
80_aug1,mel,
80_aug2,mel,
81_aug1,nv,
81_aug2,nv,
82_aug1,nv,
82_aug2,nv,
83_aug1,nv,
83_aug2,nv,
84_aug1,vasc,
84_aug2,vasc,
85_aug1,vasc,
85_aug2,vasc,
86_aug1,nv,
86_aug2,nv,
87_aug1,mel,
87_aug2,mel,
88_aug1,nv,
88_aug2,nv,
89_aug1,vasc,
89_aug2,vasc,
90_aug1,nv,
90_aug2,nv,
91_aug1,nv,
91_aug2,nv,
92_aug1,mel,
92_aug2,mel,
93_aug1,mel,
93_aug2,mel,
94_aug1,nv,
94_aug2,nv,
95_aug1,nv,
95_aug2,nv,
96_aug1,vasc,
96_aug2,vasc,
97_aug1,mel,
97_aug2,mel,
98_aug1,nv,
98_aug2,nv,
99_aug1,nv,
99_aug2,nv,
100_aug1,mel,
100_aug2,mel,
101_aug1,nv,
101_aug2,nv,
102_aug1,nv,
102_aug2,nv,
103_aug1,mel,
103_aug2,mel,
104_aug1,mel,
104_aug2,mel,
105_aug1,mel,
105_aug2,mel,
106_aug1,mel,
106_aug2,mel,
107_aug1,nv,
107_aug2,nv,
108_aug1,nv,
108_aug2,nv,
109_aug1,mel,
109_aug2,mel,
110_aug1,mel,
110_aug2,mel,
111_aug1,mel,
111_aug2,mel,
112_aug1,nv,
112_aug2,nv,
113_aug1,vasc,
113_aug2,vasc,
114_aug1,mel,
114_aug2,mel,
115_aug1,nv,
115_aug2,nv,
116_aug1,mel,
116_aug2,mel,
117_aug1,nv,
117_aug2,nv,
118_aug1,nv,
118_aug2,nv,
119_aug1,mel,
119_aug2,mel,
120_aug1,nv,
120_aug2,nv,
121_aug1,nv,
121_aug2,nv,
122_aug1,mel,
122_aug2,mel,
123_aug1,mel,
123_aug2,mel,
124_aug1,mel,
124_aug2,mel,
125_aug1,nv,
125_aug2,nv,
126_aug1,nv,
126_aug2,nv,
127_aug1,vasc,
127_aug2,vasc,
128_aug1,mel,
128_aug2,mel,
129_aug1,nv,
129_aug2,nv,
130_aug1,nv,
130_aug2,nv,
131_aug1,mel,
131_aug2,mel,
132_aug1,nv,
132_aug2,nv,
133_aug1,nv,
133_aug2,nv,
134_aug1,mel,
134_aug2,mel,
135_aug1,nv,
135_aug2,nv,
136_aug1,mel,
136_aug2,mel,
137_aug1,nv,
137_aug2,nv,
138_aug1,mel,
138_aug2,mel,
139_aug1,nv,
139_aug2,nv,
140_aug1,mel,
140_aug2,mel,
141_aug1,vasc,
141_aug2,vasc,
142_aug1,vasc,
142_aug2,vasc,
143_aug1,vasc,
143_aug2,vasc,
144_aug1,nv,
144_aug2,nv,
145_aug1,nv,
145_aug2,nv,
146_aug1,nv,
146_aug2,nv,
147_aug1,nv,
147_aug2,nv,
148_aug1,mel,
148_aug2,mel,
149_aug1,nv,
149_aug2,nv,
150_aug1,nv,
150_aug2,nv,
151_aug1,vasc,
151_aug2,vasc,
152_aug1,vasc,
152_aug2,vasc,
153_aug1,nv,
153_aug2,nv,
154_aug1,nv,
154_aug2,nv,
155_aug1,nv,
155_aug2,nv,
156_aug1,nv,
156_aug2,nv,
157_aug1,vasc,
157_aug2,vasc,
158_aug1,mel,
158_aug2,mel,
159_aug1,nv,
159_aug2,nv,
160_aug1,nv,
160_aug2,nv,
161_aug1,vasc,
161_aug2,vasc,
162_aug1,mel,
162_aug2,mel,
163_aug1,mel,
163_aug2,mel,
164_aug1,vasc,
164_aug2,vasc,
165_aug1,nv,
165_aug2,nv,
166_aug1,nv,
166_aug2,nv,
167_aug1,mel,
167_aug2,mel,
168_aug1,nv,
168_aug2,nv,
169_aug1,vasc,
169_aug2,vasc,
170_aug1,nv,
170_aug2,nv,
171_aug1,nv,
171_aug2,nv,
172_aug1,nv,
172_aug2,nv,
173_aug1,nv,
173_aug2,nv,
174_aug1,nv,
174_aug2,nv,
175_aug1,mel,
175_aug2,mel,
176_aug1,vasc,
176_aug2,vasc,
177_aug1,mel,
177_aug2,mel,
178_aug1,nv,
178_aug2,nv,
179_aug1,mel,
179_aug2,mel,
180_aug1,vasc,
180_aug2,vasc,
181_aug1,nv,
181_aug2,nv,
182_aug1,nv,
182_aug2,nv,
183_aug1,mel,
183_aug2,mel,
184_aug1,mel,
184_aug2,mel,
185_aug1,mel,
185_aug2,mel,
186_aug1,mel,
186_aug2,mel,
187_aug1,nv,
187_aug2,nv,
188_aug1,mel,
188_aug2,mel,
189_aug1,nv,
189_aug2,nv,
190_aug1,nv,
190_aug2,nv,
191_aug1,mel,
191_aug2,mel,
192_aug1,vasc,
192_aug2,vasc,
193_aug1,nv,
193_aug2,nv,
194_aug1,vasc,
194_aug2,vasc,
195_aug1,nv,
195_aug2,nv,
196_aug1,mel,
196_aug2,mel,
197_aug1,nv,
197_aug2,nv,
198_aug1,nv,
198_aug2,nv,
199_aug1,vasc,
199_aug2,vasc,
200_aug1,mel,
200_aug2,mel,
